titles,addresses,descriptions,sellers,dates,images
2 bedroom apartment for sale,"Old Brompton Road, London",This is an exquisite two bedroom apartment in an ornate period building in the Royal Borough of Kensington and Chelsea.," Barnard Marcus, Earls Court", 24/02/2023,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1895/131881985/1895_ECT103859_IMG_11_0000_max_476x317.jpeg
5 bedroom apartment for sale,"One Hyde Park, Knightsbridge","An exceptional exclusive five bedroom apartment for sale in this much sought after development in Knightsbridge. The entire floor is approximately 9,000 sq. ft. and designed to the highest specifications with stunning views over Knightsbridge and Hyde park."," The Cloister, London", 22/12/2022,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/130177625/51305_7237_IMG_00_0000_max_476x317.jpeg
12 bedroom house for sale,"Mayfair Freehold House, Park Lane Area, W1K","This stunning 12 bedroom (including 3 staff bedrooms), 18 bathrooms Mayfair mansion. The mansion includes 5 large living rooms, 2 kitchens, 2 kitchenettes, library, gym, garden/terrace, 4 dressing rooms and a lovely roof terrace all spread across 6 floors. The approximate size of the property is ..."," Luxury Living Homes International, London", 31/12/2022,
7 bedroom house for sale,"Lygon Place, Belgravia, SW1W","Ref. LOB0798 - Set behind a gated Belgravia driveway, Lygon Place is a magnificent Grade II listed 13,935 sq.ft mansion, with connecting mews house, was designed by David Collins Studio. With bespoke interiors, the seven bedroom mansion is the largest house on Lygon Place, and comprises four g..."," Beauchamp Estates Ltd, Mayfair - Resale", 21/11/2022,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/129302918/79099_7177331_IMG_00_0001_max_476x317.jpeg
6 bedroom house for sale,"Pitt Street, Kensington, W8",Ref. LOB0625 - This striking and unique house was designed and constructed by Spink Partners as a private commission for the current owner and is contemporary in style and over 60ft wide. This was one of Spink's flagship schemes within Central London and the resulting family home is flo...," Beauchamp Estates Ltd, Mayfair - Resale", 21/02/2023,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/131856722/79099_5671048_IMG_00_0000_max_476x317.jpeg
7 bedroom detached house for sale,"Pitt Street, London, W8","A rare opportunity to own this unique, contemporary mansion in Kensington."," Savills, Kensington", 20/02/2023,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48934/131846453/48934_SLH190093_IMG_00_0000_max_476x317.jpeg
7 bedroom detached house for sale,"Cottesmore Gardens, London, W8","Exceptional laterally converted double house situated in the heart of the De Vere Conservation Area. Located on one of the best roads in Kensington, this imposing double house extends to more than 54ft / 16m in width, offering lateral living so often requested but so hard to find in central Lond..."," Knight Frank, Kensington", 14/03/2023,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/132533081/65809_KEN012289491_IMG_00_0000_max_476x317.jpeg
7 bedroom detached house for sale,"Westminster, London SW1A","A very rare find this luxurious circa 11000 SQF house in the heart of Westminster. Features
7 bedroom suites
5 reception rooms Gym
Lift
Swimming pool, jacuzzi
Terrace with stunning views of Houses of Parliament
For more information get in touch."," Luxury Living Homes International, London", 23/08/2022,
5 bedroom terraced house for sale,"South Street, London","An elegant stone-dressed, red-brick, five-storey grade II listed mansion house. Double-fronted Edwardian facade with arts & crafts style detailing and french-inspired fine iron railings. Home to politicians and celebrities."," Wetherell, Mayfair", 18/10/2022,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112651/128150369/112651_31821009_IMG_00_0000_max_476x317.jpeg
8 bedroom house for sale,"Tregunter Road, Chelsea, SW10","Ref. - This exquisite recently modernised family home presents spacious and contemporary interiors filled with natural light. The luxurious 6-bedroom residence on Tregunter Road, one of Chelsea’s most prestigious streets, boasts a host of amenities, a south-facing garden. The principal bedroo..."," Beauchamp Estates Ltd, Mayfair - Resale", 02/02/2023,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/131353865/79099_7664044_IMG_00_0000_max_476x317.jpeg
